building_area_m2,buildings_within_250m,dist_road_m,pois_within_500m,dominant_landuse_area_m2,dominant_landuse_No mapped land use,dominant_landuse_forest,dominant_landuse_residential,suitable
784.79,10,2.0,0,7194.99,0,0,1,1
1160.79,14,26.9,5,0.0,1,0,0,1
645.82,10,6.59,0,5534.28,0,0,1,1
182.29,17,4.49,6,0.0,1,0,0,1
118.87,15,2.31,6,0.0,1,0,0,1
142.27,16,6.51,7,0.0,1,0,0,1
90.1,16,4.96,8,0.0,1,0,0,1
186.54,12,1.73,0,9272.31,0,0,1,1
218.39,12,3.21,8,10825.34,0,0,1,1
273.41,10,1.93,0,1242.65,0,0,1,1
619.29,8,13.3,0,28579.35,0,0,1,1
129.57,12,1.91,7,0.0,1,0,0,1
152.63,12,4.53,8,9497.68,0,0,1,1
90.21,14,6.42,6,0.0,1,0,0,1
328.94,10,8.46,0,24721.39,0,0,1,1
131.94,12,4.8,7,0.0,1,0,0,1
186.59,12,7.42,8,6984.38,0,0,1,1
133.11,15,12.25,6,0.0,1,0,0,1
173.68,12,7.67,8,5139.01,0,0,1,1
198.78,14,14.14,9,0.0,1,0,0,1
201.86,11,8.2,21,0.0,1,0,0,1
154.21,9,2.68,22,0.0,1,0,0,1
321.49,5,1.28,1,0.0,1,0,0,1
304.5,12,16.34,0,18671.39,0,0,1,0
144.43,14,14.61,11,0.0,1,0,0,0
203.19,10,8.46,0,21431.67,0,0,1,0
228.6,8,5.37,0,0.0,1,0,0,0
736.26,2,14.83,3,16409.66,0,1,0,0
140.0,11,9.27,17,0.0,1,0,0,0
470.42,12,25.62,7,16014.78,0,0,1,0
87.4,15,16.96,6,0.0,1,0,0,0
470.41,13,31.08,7,20070.91,0,0,1,0
418.95,1,2.98,17,71004.5,0,1,0,0
281.17,4,4.68,4,28579.35,0,0,1,0
73.99,14,18.58,9,0.0,1,0,0,0
494.31,1,8.22,5,28579.35,0,0,1,0
70.97,15,22.42,6,0.0,1,0,0,0
321.49,2,5.18,1,61229.23,0,1,0,0
303.15,4,9.61,5,28579.35,0,0,1,0
256.86,1,3.42,12,8552.55,0,1,0,0
103.99,10,21.21,5,0.0,1,0,0,0
80.75,10,20.53,5,267.26,0,0,1,0
260.28,2,11.1,1,51492.33,0,1,0,0
139.01,7,21.0,3,28579.35,0,0,1,0
71.58,13,33.34,9,7799.7,0,0,1,0
87.74,13,36.13,9,4558.77,0,0,1,0
