rank,osm_id,fclass,name,type,building_area_m2,buildings_within_250m,dist_road_m,area_score,density_score,road_score,suitability_score,pois_within_500m,dominant_landuse,dominant_landuse_area_m2,suitable,ml_prediction,ml_probability,prediction_label
5,829775500,building,,,118.87,15,2.31,0.0439522122919381,0.875,0.970444763271162,0.5712143138981238,6,No mapped land use,0.0,1,1,1.0,Suitable
4,829775503,building,,,182.29,17,4.49,0.1021453083995522,1.0,0.9078909612625538,0.613225411738587,6,No mapped land use,0.0,1,1,0.99,Suitable
12,717906738,building,,,129.57,12,1.91,0.0537703473968178,0.6875,0.981922525107604,0.5223348964910083,7,No mapped land use,0.0,1,1,0.99,Suitable
19,639679150,building,,,173.68,12,7.67,0.0942449211796443,0.6875,0.8166427546628408,0.4889407948707099,8,residential,5139.01,1,1,0.985,Suitable
6,829775502,building,,,142.27,16,6.51,0.0654236479418619,0.9375,0.8499282639885222,0.5623979383733014,7,No mapped land use,0.0,1,1,0.98,Suitable
16,717906739,building,,,131.94,12,4.8,0.0559450184434126,0.6875,0.8989956958393113,0.4983267161291584,7,No mapped land use,0.0,1,1,0.98,Suitable
17,639679151,building,,,186.59,12,7.42,0.1060909140959057,0.6875,0.8238163558106169,0.4958312723815473,8,residential,6984.38,1,1,0.98,Suitable
1,1485643780,building,,,784.79,10,2.0,0.654988897249087,0.5625,0.9793400286944044,0.7245475675079561,0,residential,7194.99,1,1,0.975,Suitable
13,639679152,building,,,152.63,12,4.53,0.0749298049219137,0.6875,0.9067431850789096,0.5082448774924383,8,residential,9497.68,1,1,0.965,Suitable
8,1485643767,building,,,186.54,12,1.73,0.1060450349599016,0.6875,0.9870875179340028,0.5447942693641615,0,residential,9272.31,1,1,0.96,Suitable
