rank,osm_id,fclass,name,type,building_area_m2,buildings_within_250m,dist_road_m,area_score,density_score,road_score,suitability_score,pois_within_500m,dominant_landuse,dominant_landuse_area_m2,suitable
1,1485643780,building,,,784.79,10,2.0,0.654988897249087,0.5625,0.9793400286944044,0.7245475675079561,0,residential,7194.99,1
2,1485643775,building,,,1160.79,14,26.9,1.0,0.8125,0.2648493543758967,0.723204806312769,5,No mapped land use,0.0,1
3,1485643779,building,,,645.82,10,6.59,0.5274724266392615,0.5625,0.8476327116212338,0.6340287841420748,0,residential,5534.28,1
4,829775503,building,,,182.29,17,4.49,0.1021453083995522,1.0,0.9078909612625538,0.613225411738587,6,No mapped land use,0.0,1
5,829775500,building,,,118.87,15,2.31,0.0439522122919381,0.875,0.970444763271162,0.5712143138981238,6,No mapped land use,0.0,1
6,829775502,building,,,142.27,16,6.51,0.0654236479418619,0.9375,0.8499282639885222,0.5623979383733014,7,No mapped land use,0.0,1
7,829775504,building,,,90.1,16,4.96,0.0175533574351727,0.9375,0.8944045911047345,0.5565927203054895,8,No mapped land use,0.0,1
8,1485643767,building,,,186.54,12,1.73,0.1060450349599016,0.6875,0.9870875179340028,0.5447942693641615,0,residential,9272.31,1
9,639679153,building,,,218.39,12,3.21,0.1352700445945201,0.6875,0.9446197991391678,0.5437439575795584,8,residential,10825.34,1
10,1485643778,building,,,273.41,10,1.93,0.1857554458534436,0.5625,0.981348637015782,0.537456769446112,0,residential,1242.65,1
11,1485643781,building,,,619.29,8,13.3,0.5031289570754803,0.4375,0.655093256814921,0.5290295598746684,0,residential,28579.35,1
12,717906738,building,,,129.57,12,1.91,0.0537703473968178,0.6875,0.981922525107604,0.5223348964910083,7,No mapped land use,0.0,1
13,639679152,building,,,152.63,12,4.53,0.0749298049219137,0.6875,0.9067431850789096,0.5082448774924383,8,residential,9497.68,1
14,717906741,building,,,90.21,14,6.42,0.0176542915343818,0.8125,0.8525107604017216,0.5065649447342692,6,No mapped land use,0.0,1
15,639679156,building,,,328.94,10,8.46,0.2367088142996091,0.5625,0.793974175035868,0.501625778230604,0,residential,24721.39,1
16,717906739,building,,,131.94,12,4.8,0.0559450184434126,0.6875,0.8989956958393113,0.4983267161291584,7,No mapped land use,0.0,1
17,639679151,building,,,186.59,12,7.42,0.1060909140959057,0.6875,0.8238163558106169,0.4958312723815473,8,residential,6984.38,1
18,717906742,building,,,133.11,15,12.25,0.0570185902259088,0.875,0.685222381635581,0.4908741505810378,6,No mapped land use,0.0,1
19,639679150,building,,,173.68,12,7.67,0.0942449211796443,0.6875,0.8166427546628408,0.4889407948707099,8,residential,5139.01,1
20,1485643770,building,,,198.78,14,14.14,0.1172762474537079,0.8125,0.6309899569583931,0.4799574860690011,9,No mapped land use,0.0,1
21,1485643771,building,,,201.86,11,8.2,0.1201024022315611,0.625,0.8014347202295552,0.475971376961491,21,No mapped land use,0.0,1
22,1485643772,building,,,154.21,9,2.68,0.0763795856196436,0.5,0.9598278335724532,0.4685001843195934,22,No mapped land use,0.0,1
23,1485643776,building,,,321.49,5,1.28,0.2298728230349966,0.25,1.0,0.4669491292139986,1,No mapped land use,0.0,1
24,1485643782,building,,,304.5,12,16.34,0.2142830926207997,0.6875,0.5678622668579626,0.4623219171057087,0,residential,18671.39,0
25,1485643774,building,,,144.43,14,14.61,0.0674056266172395,0.8125,0.6175035868005738,0.4559633266870679,11,No mapped land use,0.0,0
26,639679157,building,,,203.19,10,8.46,0.1213227872492705,0.5625,0.793974175035868,0.4554713674104686,0,residential,21431.67,0
27,1485643777,building,,,228.6,8,5.37,0.1446385641665596,0.4375,0.8826398852223816,0.4538973912333383,0,No mapped land use,0.0,0
28,806448419,building,,,736.26,2,14.83,0.610458607843497,0.0625,0.6111908177905307,0.446290688474558,3,forest,16409.66,0
29,1485643773,building,,,140.0,11,9.27,0.0633407351672753,0.625,0.7707317073170731,0.444055806262032,17,No mapped land use,0.0,0
30,1246326242,building,,,470.42,12,25.62,0.3665284175368409,0.6875,0.3015781922525107,0.4433348246904896,7,residential,16014.78,0
31,717906740,building,,,87.4,15,16.96,0.0150758840909507,0.875,0.5500717360114777,0.4335518744398236,6,No mapped land use,0.0,0
32,1246326243,building,,,470.41,13,31.08,0.3665192417096401,0.75,0.1449067431850789,0.4150797196393797,7,residential,20070.91,0
