rank,osm_id,fclass,name,type,building_area_m2,buildings_within_250m,dist_road_m,area_score,density_score,road_score,suitability_score,pois_within_500m,dominant_landuse,dominant_landuse_area_m2
1,1485643780,building,,,784.79,10,2.00,0.65498889724908700519,0.56250000000000000000,0.97934002869440459110,0.7245475675079561794060,0,residential,7194.99
2,1485643775,building,,,1160.79,14,26.90,1.00000000000000000000,0.81250000000000000000,0.26484935437589670014,0.7232048063127690100420,5,No mapped land use,0
3,1485643779,building,,,645.82,10,6.59,0.52747242663926152943,0.56250000000000000000,0.84763271162123385940,0.6340287841420747695920,0,residential,5534.28
4,829775503,building,,,182.29,17,4.49,0.10214530839955221963,1.00000000000000000000,0.90789096126255380201,0.6132254117385870284550,6,No mapped land use,0
5,829775500,building,,,118.87,15,2.31,0.04395221229193811822,0.87500000000000000000,0.97044476327116212339,0.5712143138981238843050,6,No mapped land use,0
6,829775502,building,,,142.27,16,6.51,0.06542364794186195886,0.93750000000000000000,0.84992826398852223816,0.5623979383733014549920,7,No mapped land use,0
7,829775504,building,,,90.10,16,4.96,0.01755335743517278083,0.93750000000000000000,0.89440459110473457676,0.5565927203054894853600,8,No mapped land use,0
8,1485643767,building,,,186.54,12,1.73,0.10604503495990163513,0.68750000000000000000,0.98708751793400286944,0.5447942693641615148840,0,residential,9272.31
9,639679153,building,,,218.39,12,3.21,0.13527004459452019600,0.68750000000000000000,0.94461979913916786227,0.5437439575795584370810,8,residential,10825.34
10,1485643778,building,,,273.41,10,1.93,0.18575544585344368795,0.56250000000000000000,0.98134863701578192253,0.5374567694461120519390,0,residential,1242.65
11,1485643781,building,,,619.29,8,13.30,0.50312895707548035455,0.43750000000000000000,0.65509325681492109039,0.5290295598746684689370,0,residential,28579.35
12,717906738,building,,,129.57,12,1.91,0.05377034739681782313,0.68750000000000000000,0.98192252510760401722,0.5223348964910083344180,7,No mapped land use,0
13,639679152,building,,,152.63,12,4.53,0.07492980492191371052,0.68750000000000000000,0.90674318507890961263,0.5082448774924383679970,8,residential,9497.68
14,717906741,building,,,90.21,14,6.42,0.01765429153438182452,0.81250000000000000000,0.85251076040172166428,0.5065649447342692290920,6,No mapped land use,0
15,639679156,building,,,328.94,10,8.46,0.23670881429960910976,0.56250000000000000000,0.79397417503586800574,0.5016257782306040456260,0,residential,24721.39
16,717906739,building,,,131.94,12,4.80,0.05594501844341267365,0.68750000000000000000,0.89899569583931133429,0.4983267161291584697470,7,No mapped land use,0
17,639679151,building,,,186.59,12,7.42,0.10609091409590574590,0.68750000000000000000,0.82381635581061692970,0.4958312723815473772700,8,residential,6984.38
18,717906742,building,,,133.11,15,12.25,0.05701859022590886568,0.87500000000000000000,0.68522238163558106169,0.4908741505810378647790,6,No mapped land use,0
19,639679150,building,,,173.68,12,7.67,0.09424492117964434494,0.68750000000000000000,0.81664275466284074605,0.4889407948707099617910,8,residential,5139.01
20,1485643770,building,,,198.78,14,14.14,0.11727624745370795177,0.81250000000000000000,0.63098995695839311334,0.4799574860690011147100,9,No mapped land use,0
21,1485643771,building,,,201.86,11,8.20,0.12010240223156117524,0.62500000000000000000,0.80143472022955523673,0.4759713769614910411150,21,No mapped land use,0
